record_type,id,name,start_date,end_date,duration,status,project_id,is_critical,dependency_type,resource_type,role,skill_level,quantity,task_id,resource_id
HUMAN_RESOURCE,42,Person_42,,,,,,,,human,Project Manager,7,,,
HUMAN_RESOURCE,43,Person_43,,,,,,,,human,Senior Developer,7,,,
HUMAN_RESOURCE,44,Person_44,,,,,,,,human,Solution Architect,8,,,
MATERIAL_RESOURCE,45,Server_45,,,,,,,,material,,,345,,
MATERIAL_RESOURCE,46,Laptop_46,,,,,,,,material,,,32,,
HUMAN_RESOURCE,47,Person_47,,,,,,,,human,DevOps Engineer,2,,,
HUMAN_RESOURCE,48,Person_48,,,,,,,,human,Business Analyst,9,,,
HUMAN_RESOURCE,49,Person_49,,,,,,,,human,Solution Architect,3,,,
HUMAN_RESOURCE,50,Person_50,,,,,,,,human,Business Analyst,2,,,
HUMAN_RESOURCE,51,Person_51,,,,,,,,human,Data Scientist,2,,,
HUMAN_RESOURCE,52,Person_52,,,,,,,,human,Data Scientist,1,,,
MATERIAL_RESOURCE,53,SSD Drive_53,,,,,,,,material,,,86,,
HUMAN_RESOURCE,54,Person_54,,,,,,,,human,Project Manager,4,,,
MATERIAL_RESOURCE,55,Server_55,,,,,,,,material,,,85,,
HUMAN_RESOURCE,56,Person_56,,,,,,,,human,Solution Architect,5,,,
MATERIAL_RESOURCE,57,External HDD_57,,,,,,,,material,,,147,,
HUMAN_RESOURCE,58,Person_58,,,,,,,,human,Data Scientist,8,,,
HUMAN_RESOURCE,59,Person_59,,,,,,,,human,QA Engineer,4,,,
MATERIAL_RESOURCE,60,Keyboard_60,,,,,,,,material,,,377,,
HUMAN_RESOURCE,61,Person_61,,,,,,,,human,DevOps Engineer,1,,,
HUMAN_RESOURCE,62,Person_62,,,,,,,,human,Project Manager,9,,,
MATERIAL_RESOURCE,63,Monitor_63,,,,,,,,material,,,81,,
HUMAN_RESOURCE,64,Person_64,,,,,,,,human,Data Scientist,2,,,
MATERIAL_RESOURCE,65,Laptop_65,,,,,,,,material,,,305,,
HUMAN_RESOURCE,66,Person_66,,,,,,,,human,Business Analyst,7,,,
HUMAN_RESOURCE,67,Person_67,,,,,,,,human,Security Engineer,4,,,
HUMAN_RESOURCE,68,Person_68,,,,,,,,human,Developer,10,,,
HUMAN_RESOURCE,69,Person_69,,,,,,,,human,Security Engineer,10,,,
HUMAN_RESOURCE,70,Person_70,,,,,,,,human,QA Engineer,4,,,
MATERIAL_RESOURCE,71,UPS Unit_71,,,,,,,,material,,,123,,
HUMAN_RESOURCE,72,Person_72,,,,,,,,human,Designer,5,,,
HUMAN_RESOURCE,73,Person_73,,,,,,,,human,Senior Developer,1,,,
HUMAN_RESOURCE,74,Person_74,,,,,,,,human,Security Engineer,2,,,
HUMAN_RESOURCE,75,Person_75,,,,,,,,human,Business Analyst,9,,,
HUMAN_RESOURCE,76,Person_76,,,,,,,,human,DevOps Engineer,2,,,
MATERIAL_RESOURCE,77,UPS Unit_77,,,,,,,,material,,,146,,
HUMAN_RESOURCE,78,Person_78,,,,,,,,human,Data Scientist,5,,,
HUMAN_RESOURCE,79,Person_79,,,,,,,,human,Data Scientist,1,,,
MATERIAL_RESOURCE,80,Monitor_80,,,,,,,,material,,,154,,
MATERIAL_RESOURCE,81,Laptop_81,,,,,,,,material,,,481,,
MATERIAL_RESOURCE,82,Network Switch_82,,,,,,,,material,,,60,,
MATERIAL_RESOURCE,83,Monitor_83,,,,,,,,material,,,80,,
HUMAN_RESOURCE,84,Person_84,,,,,,,,human,Security Engineer,4,,,
MATERIAL_RESOURCE,85,SSD Drive_85,,,,,,,,material,,,352,,
HUMAN_RESOURCE,86,Person_86,,,,,,,,human,QA Engineer,9,,,
HUMAN_RESOURCE,87,Person_87,,,,,,,,human,Developer,2,,,
HUMAN_RESOURCE,88,Person_88,,,,,,,,human,QA Engineer,1,,,
HUMAN_RESOURCE,89,Person_89,,,,,,,,human,Designer,5,,,
HUMAN_RESOURCE,90,Person_90,,,,,,,,human,Project Manager,9,,,
MATERIAL_RESOURCE,91,Monitor_91,,,,,,,,material,,,5,,
HUMAN_RESOURCE,92,Person_92,,,,,,,,human,Designer,9,,,
HUMAN_RESOURCE,93,Person_93,,,,,,,,human,DevOps Engineer,10,,,
HUMAN_RESOURCE,94,Person_94,,,,,,,,human,Solution Architect,3,,,
HUMAN_RESOURCE,95,Person_95,,,,,,,,human,DevOps Engineer,1,,,
MATERIAL_RESOURCE,96,SSD Drive_96,,,,,,,,material,,,350,,
HUMAN_RESOURCE,97,Person_97,,,,,,,,human,Senior Developer,6,,,
MATERIAL_RESOURCE,98,Software License_98,,,,,,,,material,,,499,,
HUMAN_RESOURCE,99,Person_99,,,,,,,,human,Designer,4,,,
MATERIAL_RESOURCE,100,Cloud License_100,,,,,,,,material,,,452,,
HUMAN_RESOURCE,101,Person_101,,,,,,,,human,Designer,6,,,
MATERIAL_RESOURCE,102,Software License_102,,,,,,,,material,,,411,,
MATERIAL_RESOURCE,103,SSD Drive_103,,,,,,,,material,,,137,,
HUMAN_RESOURCE,104,Person_104,,,,,,,,human,Senior Developer,7,,,
MATERIAL_RESOURCE,105,External HDD_105,,,,,,,,material,,,114,,
HUMAN_RESOURCE,106,Person_106,,,,,,,,human,Project Manager,6,,,
HUMAN_RESOURCE,107,Person_107,,,,,,,,human,Business Analyst,4,,,
HUMAN_RESOURCE,108,Person_108,,,,,,,,human,Business Analyst,7,,,
HUMAN_RESOURCE,109,Person_109,,,,,,,,human,Senior Developer,5,,,
HUMAN_RESOURCE,110,Person_110,,,,,,,,human,Data Scientist,7,,,
MATERIAL_RESOURCE,111,Monitor_111,,,,,,,,material,,,170,,
MATERIAL_RESOURCE,112,Laptop_112,,,,,,,,material,,,450,,
MATERIAL_RESOURCE,113,Cloud License_113,,,,,,,,material,,,298,,
MATERIAL_RESOURCE,114,Network Switch_114,,,,,,,,material,,,20,,
HUMAN_RESOURCE,115,Person_115,,,,,,,,human,Solution Architect,6,,,
MATERIAL_RESOURCE,116,UPS Unit_116,,,,,,,,material,,,224,,
HUMAN_RESOURCE,117,Person_117,,,,,,,,human,Data Scientist,2,,,
HUMAN_RESOURCE,118,Person_118,,,,,,,,human,Security Engineer,4,,,
HUMAN_RESOURCE,119,Person_119,,,,,,,,human,Solution Architect,1,,,
HUMAN_RESOURCE,120,Person_120,,,,,,,,human,Data Scientist,4,,,
HUMAN_RESOURCE,121,Person_121,,,,,,,,human,Senior Developer,6,,,
HUMAN_RESOURCE,122,Person_122,,,,,,,,human,Senior Developer,5,,,
HUMAN_RESOURCE,123,Person_123,,,,,,,,human,Solution Architect,6,,,
HUMAN_RESOURCE,124,Person_124,,,,,,,,human,QA Engineer,9,,,
HUMAN_RESOURCE,125,Person_125,,,,,,,,human,Solution Architect,7,,,
MATERIAL_RESOURCE,126,Cloud License_126,,,,,,,,material,,,316,,
HUMAN_RESOURCE,127,Person_127,,,,,,,,human,Solution Architect,9,,,
MATERIAL_RESOURCE,128,Network Switch_128,,,,,,,,material,,,147,,
HUMAN_RESOURCE,129,Person_129,,,,,,,,human,Security Engineer,10,,,
MATERIAL_RESOURCE,130,External HDD_130,,,,,,,,material,,,227,,
HUMAN_RESOURCE,131,Person_131,,,,,,,,human,Business Analyst,9,,,
HUMAN_RESOURCE,132,Person_132,,,,,,,,human,Designer,2,,,
HUMAN_RESOURCE,133,Person_133,,,,,,,,human,Security Engineer,6,,,
HUMAN_RESOURCE,134,Person_134,,,,,,,,human,Business Analyst,5,,,
HUMAN_RESOURCE,135,Person_135,,,,,,,,human,Business Analyst,3,,,
HUMAN_RESOURCE,136,Person_136,,,,,,,,human,Business Analyst,8,,,
HUMAN_RESOURCE,137,Person_137,,,,,,,,human,Senior Developer,8,,,
HUMAN_RESOURCE,138,Person_138,,,,,,,,human,Security Engineer,4,,,
MATERIAL_RESOURCE,139,Software License_139,,,,,,,,material,,,254,,
HUMAN_RESOURCE,140,Person_140,,,,,,,,human,Designer,1,,,
MATERIAL_RESOURCE,141,Laptop_141,,,,,,,,material,,,399,,
HUMAN_RESOURCE,142,Person_142,,,,,,,,human,Designer,9,,,
HUMAN_RESOURCE,143,Person_143,,,,,,,,human,Data Scientist,4,,,
MATERIAL_RESOURCE,144,Laptop_144,,,,,,,,material,,,234,,
HUMAN_RESOURCE,145,Person_145,,,,,,,,human,Project Manager,9,,,
MATERIAL_RESOURCE,146,Keyboard_146,,,,,,,,material,,,163,,
MATERIAL_RESOURCE,147,External HDD_147,,,,,,,,material,,,314,,
MATERIAL_RESOURCE,148,Monitor_148,,,,,,,,material,,,219,,
MATERIAL_RESOURCE,149,Monitor_149,,,,,,,,material,,,229,,
MATERIAL_RESOURCE,150,External HDD_150,,,,,,,,material,,,231,,
HUMAN_RESOURCE,151,Person_151,,,,,,,,human,Business Analyst,5,,,
MATERIAL_RESOURCE,152,Monitor_152,,,,,,,,material,,,249,,
HUMAN_RESOURCE,153,Person_153,,,,,,,,human,QA Engineer,8,,,
HUMAN_RESOURCE,154,Person_154,,,,,,,,human,QA Engineer,4,,,
HUMAN_RESOURCE,155,Person_155,,,,,,,,human,DevOps Engineer,9,,,
HUMAN_RESOURCE,156,Person_156,,,,,,,,human,Designer,4,,,
HUMAN_RESOURCE,157,Person_157,,,,,,,,human,Designer,4,,,
HUMAN_RESOURCE,158,Person_158,,,,,,,,human,Solution Architect,6,,,
HUMAN_RESOURCE,159,Person_159,,,,,,,,human,Solution Architect,1,,,
HUMAN_RESOURCE,160,Person_160,,,,,,,,human,Solution Architect,7,,,
MATERIAL_RESOURCE,161,Keyboard_161,,,,,,,,material,,,485,,
MATERIAL_RESOURCE,162,Keyboard_162,,,,,,,,material,,,195,,
HUMAN_RESOURCE,163,Person_163,,,,,,,,human,DevOps Engineer,5,,,
MATERIAL_RESOURCE,164,Software License_164,,,,,,,,material,,,276,,
MATERIAL_RESOURCE,165,Monitor_165,,,,,,,,material,,,410,,
HUMAN_RESOURCE,166,Person_166,,,,,,,,human,Business Analyst,8,,,
HUMAN_RESOURCE,167,Person_167,,,,,,,,human,Solution Architect,8,,,
HUMAN_RESOURCE,168,Person_168,,,,,,,,human,DevOps Engineer,7,,,
MATERIAL_RESOURCE,169,External HDD_169,,,,,,,,material,,,471,,
HUMAN_RESOURCE,170,Person_170,,,,,,,,human,Security Engineer,9,,,
HUMAN_RESOURCE,171,Person_171,,,,,,,,human,Solution Architect,10,,,
HUMAN_RESOURCE,172,Person_172,,,,,,,,human,Developer,2,,,
HUMAN_RESOURCE,173,Person_173,,,,,,,,human,Designer,8,,,
HUMAN_RESOURCE,174,Person_174,,,,,,,,human,QA Engineer,7,,,
HUMAN_RESOURCE,175,Person_175,,,,,,,,human,Project Manager,6,,,
HUMAN_RESOURCE,176,Person_176,,,,,,,,human,Solution Architect,5,,,
MATERIAL_RESOURCE,177,Software License_177,,,,,,,,material,,,130,,
MATERIAL_RESOURCE,178,External HDD_178,,,,,,,,material,,,10,,
MATERIAL_RESOURCE,179,Server_179,,,,,,,,material,,,488,,
HUMAN_RESOURCE,180,Person_180,,,,,,,,human,Senior Developer,1,,,
MATERIAL_RESOURCE,181,SSD Drive_181,,,,,,,,material,,,103,,
MATERIAL_RESOURCE,182,Keyboard_182,,,,,,,,material,,,79,,
HUMAN_RESOURCE,183,Person_183,,,,,,,,human,Project Manager,2,,,
HUMAN_RESOURCE,184,Person_184,,,,,,,,human,Business Analyst,8,,,
MATERIAL_RESOURCE,185,UPS Unit_185,,,,,,,,material,,,86,,
HUMAN_RESOURCE,186,Person_186,,,,,,,,human,Senior Developer,3,,,
MATERIAL_RESOURCE,187,Laptop_187,,,,,,,,material,,,297,,
HUMAN_RESOURCE,188,Person_188,,,,,,,,human,QA Engineer,10,,,
MATERIAL_RESOURCE,189,Software License_189,,,,,,,,material,,,204,,
MATERIAL_RESOURCE,190,SSD Drive_190,,,,,,,,material,,,39,,
HUMAN_RESOURCE,191,Person_191,,,,,,,,human,Business Analyst,2,,,
MATERIAL_RESOURCE,192,Network Switch_192,,,,,,,,material,,,436,,
MATERIAL_RESOURCE,193,Laptop_193,,,,,,,,material,,,408,,
MATERIAL_RESOURCE,194,Server_194,,,,,,,,material,,,178,,
HUMAN_RESOURCE,195,Person_195,,,,,,,,human,DevOps Engineer,2,,,
HUMAN_RESOURCE,196,Person_196,,,,,,,,human,DevOps Engineer,1,,,
MATERIAL_RESOURCE,197,External HDD_197,,,,,,,,material,,,55,,
HUMAN_RESOURCE,198,Person_198,,,,,,,,human,DevOps Engineer,8,,,
MATERIAL_RESOURCE,199,Software License_199,,,,,,,,material,,,91,,
MATERIAL_RESOURCE,200,Network Switch_200,,,,,,,,material,,,316,,
MATERIAL_RESOURCE,201,Monitor_201,,,,,,,,material,,,397,,
HUMAN_RESOURCE,202,Person_202,,,,,,,,human,Solution Architect,10,,,
HUMAN_RESOURCE,203,Person_203,,,,,,,,human,Business Analyst,2,,,
HUMAN_RESOURCE,204,Person_204,,,,,,,,human,Project Manager,4,,,
MATERIAL_RESOURCE,205,Keyboard_205,,,,,,,,material,,,313,,
MATERIAL_RESOURCE,206,UPS Unit_206,,,,,,,,material,,,15,,
HUMAN_RESOURCE,207,Person_207,,,,,,,,human,DevOps Engineer,3,,,
HUMAN_RESOURCE,208,Person_208,,,,,,,,human,DevOps Engineer,5,,,
HUMAN_RESOURCE,209,Person_209,,,,,,,,human,Security Engineer,5,,,
HUMAN_RESOURCE,210,Person_210,,,,,,,,human,Data Scientist,4,,,
HUMAN_RESOURCE,211,Person_211,,,,,,,,human,Solution Architect,8,,,
HUMAN_RESOURCE,212,Person_212,,,,,,,,human,Business Analyst,8,,,
HUMAN_RESOURCE,213,Person_213,,,,,,,,human,Project Manager,8,,,
MATERIAL_RESOURCE,214,Laptop_214,,,,,,,,material,,,151,,
HUMAN_RESOURCE,215,Person_215,,,,,,,,human,Business Analyst,5,,,
MATERIAL_RESOURCE,216,UPS Unit_216,,,,,,,,material,,,243,,
HUMAN_RESOURCE,217,Person_217,,,,,,,,human,DevOps Engineer,7,,,
MATERIAL_RESOURCE,218,Monitor_218,,,,,,,,material,,,170,,
HUMAN_RESOURCE,219,Person_219,,,,,,,,human,Project Manager,5,,,
HUMAN_RESOURCE,220,Person_220,,,,,,,,human,Business Analyst,2,,,
MATERIAL_RESOURCE,221,UPS Unit_221,,,,,,,,material,,,62,,
MATERIAL_RESOURCE,222,Cloud License_222,,,,,,,,material,,,99,,
HUMAN_RESOURCE,223,Person_223,,,,,,,,human,Project Manager,5,,,
MATERIAL_RESOURCE,224,Monitor_224,,,,,,,,material,,,306,,
HUMAN_RESOURCE,225,Person_225,,,,,,,,human,Senior Developer,4,,,
HUMAN_RESOURCE,226,Person_226,,,,,,,,human,DevOps Engineer,3,,,
HUMAN_RESOURCE,227,Person_227,,,,,,,,human,Data Scientist,3,,,
HUMAN_RESOURCE,228,Person_228,,,,,,,,human,Developer,9,,,
HUMAN_RESOURCE,229,Person_229,,,,,,,,human,Designer,8,,,
HUMAN_RESOURCE,230,Person_230,,,,,,,,human,Developer,10,,,
HUMAN_RESOURCE,231,Person_231,,,,,,,,human,Project Manager,8,,,
HUMAN_RESOURCE,232,Person_232,,,,,,,,human,Developer,5,,,
MATERIAL_RESOURCE,233,External HDD_233,,,,,,,,material,,,59,,
MATERIAL_RESOURCE,234,Software License_234,,,,,,,,material,,,252,,
HUMAN_RESOURCE,235,Person_235,,,,,,,,human,Developer,3,,,
HUMAN_RESOURCE,236,Person_236,,,,,,,,human,Security Engineer,5,,,
HUMAN_RESOURCE,237,Person_237,,,,,,,,human,Business Analyst,2,,,
HUMAN_RESOURCE,238,Person_238,,,,,,,,human,Solution Architect,10,,,
HUMAN_RESOURCE,239,Person_239,,,,,,,,human,Security Engineer,4,,,
MATERIAL_RESOURCE,240,Software License_240,,,,,,,,material,,,231,,
MATERIAL_RESOURCE,241,Network Switch_241,,,,,,,,material,,,441,,
HUMAN_RESOURCE,242,Person_242,,,,,,,,human,Solution Architect,5,,,
HUMAN_RESOURCE,243,Person_243,,,,,,,,human,Developer,10,,,
MATERIAL_RESOURCE,244,Laptop_244,,,,,,,,material,,,486,,
MATERIAL_RESOURCE,245,SSD Drive_245,,,,,,,,material,,,136,,
MATERIAL_RESOURCE,246,Cloud License_246,,,,,,,,material,,,123,,
HUMAN_RESOURCE,247,Person_247,,,,,,,,human,Senior Developer,3,,,
HUMAN_RESOURCE,248,Person_248,,,,,,,,human,Project Manager,10,,,
HUMAN_RESOURCE,249,Person_249,,,,,,,,human,Developer,4,,,
HUMAN_RESOURCE,250,Person_250,,,,,,,,human,QA Engineer,8,,,
MILESTONE,1,Milestone_1,,,2,completed,1,True,,,,,,,
TASK,2,Migrate CI/CD pipeline #2,,,21,in_progress,1,,,,,,,,
TASK,3,Monitor authentication module #3,,,3,pending,1,,,,,,,,
DEPENDENCY,4,Dependency_4,,,5,completed,1,,start_to_finish,,,,,,
DEPENDENCY,5,Dependency_5,,,5,on_hold,1,,finish_to_finish,,,,,,
TASK,6,Integrate search index #6,,,3,pending,1,,,,,,,,
TASK,7,Optimise notification service #7,,,20,completed,1,,,,,,,,
MILESTONE,8,Milestone_8,,,2,pending,1,False,,,,,,,
TASK,9,Validate payment flow #9,,,6,on_hold,1,,,,,,,,
TASK,10,Integrate logging system #10,,,9,in_progress,1,,,,,,,,
TASK,11,Document data export #11,,,27,on_hold,1,,,,,,,,
TASK,12,Integrate notification service #12,,,14,completed,1,,,,,,,,
TASK,13,Design email service #13,,,6,completed,1,,,,,,,,
TASK,14,Integrate frontend layout #14,,,22,on_hold,1,,,,,,,,
TASK,15,Migrate DB schema #15,,,15,pending,2,,,,,,,,
TASK,16,Refactor REST API #16,,,25,on_hold,2,,,,,,,,
TASK,17,Monitor DB schema #17,,,22,on_hold,2,,,,,,,,
TASK,18,Review reporting module #18,,,12,on_hold,2,,,,,,,,
TASK,19,Validate DB schema #19,,,7,completed,2,,,,,,,,
TASK,20,Audit frontend layout #20,,,15,on_hold,2,,,,,,,,
DEPENDENCY,21,Dependency_21,,,10,in_progress,2,,start_to_start,,,,,,
TASK,22,Implement reporting module #22,,,14,pending,2,,,,,,,,
TASK,23,Monitor logging system #23,,,4,on_hold,2,,,,,,,,
TASK,24,Analyse email service #24,,,5,on_hold,2,,,,,,,,
TASK,25,Deploy reporting module #25,,,23,completed,2,,,,,,,,
TASK,26,Integrate search index #26,,,8,on_hold,2,,,,,,,,
TASK,27,Document CI/CD pipeline #27,,,30,in_progress,2,,,,,,,,
TASK,28,Deploy payment flow #28,,,26,on_hold,2,,,,,,,,
TASK,29,Validate reporting module #29,,,9,pending,3,,,,,,,,
TASK,30,Deploy email service #30,,,19,on_hold,3,,,,,,,,
TASK,31,Integrate reporting module #31,,,16,completed,3,,,,,,,,
TASK,32,Validate reporting module #32,,,13,on_hold,3,,,,,,,,
TASK,33,Monitor CI/CD pipeline #33,,,23,in_progress,3,,,,,,,,
TASK,34,Review email service #34,,,25,on_hold,3,,,,,,,,
MILESTONE,35,Milestone_35,,,4,on_hold,3,False,,,,,,,
TASK,36,Validate email service #36,,,21,in_progress,3,,,,,,,,
TASK,37,Implement authentication module #37,,,17,completed,3,,,,,,,,
TASK,38,Monitor email service #38,,,15,pending,3,,,,,,,,
TASK,39,Integrate DB schema #39,,,24,in_progress,3,,,,,,,,
